"
Date",TSLA,GOOG,MSFT,AMZN,AAPL,SP500
2020/10/2 下午 4:00:00,415.09,1458.42,206.19,3125,113.02,333.84
2020/10/5 下午 4:00:00,425.68,1486.02,210.38,3199.2,116.5,339.76
2020/10/6 下午 4:00:00,413.98,1453.44,205.91,3099.96,113.16,334.93
2020/10/7 下午 4:00:00,425.3,1460.29,209.83,3195.69,115.08,340.76
2020/10/8 下午 4:00:00,425.92,1485.93,210.58,3190.55,114.97,343.78
2020/10/9 下午 4:00:00,434,1515.22,215.81,3286.65,116.97,346.85
2020/10/12 下午 4:00:00,442.3,1569.15,221.4,3442.93,124.4,352.43
2020/10/13 下午 4:00:00,446.65,1571.68,222.86,3443.63,121.1,350.13
2020/10/14 下午 4:00:00,461.3,1568.08,220.86,3363.71,121.19,347.93
2020/10/15 下午 4:00:00,448.88,1559.13,219.66,3338.65,120.71,347.5
2020/10/16 下午 4:00:00,439.67,1573.01,219.66,3272.71,119.02,347.29
2020/10/19 下午 4:00:00,430.83,1534.61,214.22,3207.21,115.98,342.01
2020/10/20 下午 4:00:00,421.94,1555.93,214.65,3217.01,117.51,343.38
2020/10/21 下午 4:00:00,422.64,1593.31,214.8,3184.94,116.87,342.73
2020/10/22 下午 4:00:00,425.79,1615.33,214.89,3176.4,115.75,344.61
2020/10/23 下午 4:00:00,420.63,1641,216.23,3204.4,115.04,345.78
2020/10/26 下午 4:00:00,420.28,1590.45,210.08,3207.04,115.05,339.39
2020/10/27 下午 4:00:00,424.68,1604.26,213.25,3286.33,116.6,338.22
2020/10/28 下午 4:00:00,406.02,1516.62,202.68,3162.78,111.2,326.66
2020/10/29 下午 4:00:00,410.83,1567.24,204.72,3211.01,115.32,329.98
2020/10/30 下午 4:00:00,388.04,1621.01,202.47,3036.15,108.86,326.54
2020/11/2 下午 4:00:00,400.51,1626.03,202.33,3004.48,108.77,330.2
2020/11/3 下午 4:00:00,423.9,1650.21,206.43,3048.41,110.44,336.03
2020/11/4 下午 4:00:00,420.98,1749.13,216.39,3241.16,114.95,343.54
2020/11/5 下午 4:00:00,438.09,1763.37,223.29,3322,119.03,350.24
2020/11/6 下午 4:00:00,429.95,1761.75,223.72,3311.37,118.69,350.16
2020/11/9 下午 4:00:00,421.26,1763,218.39,3143.74,116.32,354.56
2020/11/10 下午 4:00:00,410.36,1740.39,211.01,3035.02,115.97,354.04
2020/11/11 下午 4:00:00,417.13,1752.71,216.55,3137.39,119.49,356.67
2020/11/12 下午 4:00:00,411.76,1749.84,215.44,3110.28,119.21,353.21
2020/11/13 下午 4:00:00,408.5,1777.02,216.51,3128.81,119.26,358.1
2020/11/16 下午 4:00:00,408.09,1781.38,217.23,3131.06,120.3,362.57
2020/11/17 下午 4:00:00,441.61,1770.15,214.46,3135.66,119.39,360.62
2020/11/18 下午 4:00:00,486.64,1746.78,211.08,3105.46,118.03,356.28
2020/11/19 下午 4:00:00,499.27,1763.92,212.42,3117.02,118.64,357.78
2020/11/20 下午 4:00:00,489.61,1742.19,210.39,3099.4,117.34,355.33
2020/11/23 下午 4:00:00,521.85,1734.86,210.11,3098.39,113.85,357.46
2020/11/24 下午 4:00:00,555.38,1768.88,213.86,3118.06,115.17,363.22
2020/11/25 下午 4:00:00,574,1771.43,213.87,3185.07,116.03,362.66
2020/11/27 下午 1:00:00,585.76,1793.19,215.23,3195.34,116.59,363.67
2020/11/30 下午 4:00:00,567.6,1760.74,214.07,3168.04,119.05,362.06
2020/12/1 下午 4:00:00,584.76,1798.1,216.21,3220.08,122.72,366.02
2020/12/2 下午 4:00:00,568.82,1827.95,215.37,3203.53,123.08,366.79
2020/12/3 下午 4:00:00,593.38,1826.77,214.24,3186.73,122.94,366.69
2020/12/4 下午 4:00:00,599.04,1827.99,214.36,3162.58,122.25,369.85
2020/12/7 下午 4:00:00,641.76,1819.48,214.29,3158,123.75,369.09
2020/12/8 下午 4:00:00,649.88,1818.55,216.01,3177.29,124.38,370.17
2020/12/9 下午 4:00:00,604.48,1784.13,211.8,3104.2,121.78,366.85
2020/12/10 下午 4:00:00,627.07,1775.33,210.52,3101.49,123.24,366.73
2020/12/11 下午 4:00:00,609.99,1781.77,213.26,3116.42,122.41,366.3
2020/12/14 下午 4:00:00,639.83,1760.06,214.2,3156.97,121.78,364.66
2020/12/15 下午 4:00:00,633.25,1767.77,214.13,3165.12,127.88,369.59
2020/12/16 下午 4:00:00,622.77,1763,219.28,3240.96,127.81,370.17
